language,num_examples,mean_chrf,median_chrf,min_chrf,max_chrf
Tamil,142,92.70926775579849,96.32519980411334,55.212281653449914,100.0
Hindi,143,92.4986375672803,96.74541113606786,63.34974535203515,100.0
Spanish,143,92.37409304745186,95.91490369625703,45.29836976795909,100.0
Italian,143,91.8884182271418,96.34793208291072,44.18796421768482,100.0
Turkish,143,91.15454546404352,95.14141544281729,31.707270855587634,100.0
Arabic,143,88.5219201500965,93.6358549062005,43.52604613180947,100.0
Japanese,143,87.03338590325903,92.10223430989561,35.01109262340544,100.0
