threshold,precision,recall,specificity,f1,tp,fp,tn,fn,expected_cost,expected_cost_per_example
0.355,0.5689655172413793,0.868421052631579,0.3392070484581498,0.6875000000000001,396,300,154,60,420.0,0.46153846153846156
0.36,0.5714285714285714,0.8596491228070176,0.3524229074889868,0.6865148861646234,392,294,160,64,422.0,0.46373626373626375
0.35000000000000003,0.5663338088445078,0.8706140350877193,0.3303964757709251,0.686257562662057,397,304,150,59,422.0,0.46373626373626375
0.45,0.6323529411764706,0.7543859649122807,0.5594713656387665,0.688,344,200,254,112,424.0,0.46593406593406594
0.41500000000000004,0.6053511705685619,0.793859649122807,0.4801762114537445,0.6869070208728653,362,236,218,94,424.0,0.46593406593406594
0.38,0.5816793893129771,0.8355263157894737,0.3964757709251101,0.6858685868586859,381,274,180,75,424.0,0.46593406593406594
0.365,0.572901325478645,0.8530701754385965,0.36123348017621143,0.6854625550660792,389,290,164,67,424.0,0.46593406593406594
0.445,0.6279491833030852,0.7587719298245614,0.5484581497797357,0.6871896722939425,346,205,249,110,425.0,0.46703296703296704
0.41000000000000003,0.6019900497512438,0.7960526315789473,0.4713656387665198,0.6855524079320113,363,240,214,93,426.0,0.46813186813186813
0.455,0.6338289962825279,0.7478070175438597,0.566079295154185,0.6861167002012073,341,197,257,115,427.0,0.46923076923076923
0.405,0.5970636215334421,0.8026315789473685,0.45594713656387664,0.6847521047708138,366,247,207,90,427.0,0.46923076923076923
0.375,0.5770392749244713,0.8377192982456141,0.3832599118942731,0.6833631484794276,382,280,174,74,428.0,0.4703296703296703
