threshold,n_samples,positive_rate,roc_auc,pr_auc,precision,recall,specificity,accuracy,js_divergence,kl_divergence_0_to_1,kl_divergence_1_to_0,expected_cost,expected_cost_per_example,best_cost_threshold,best_cost_per_example,cost_fp,cost_fn,dataset,model,brier_score
0.5,770,0.5,0.9996761679878563,0.9996925342232935,0.9947780678851175,0.9896103896103896,0.9948051948051948,0.9922077922077922,0.6733270937428241,5.937421927799793,6.030330270491638,10.0,0.012987012987012988,0.14,0.007792207792207792,1.0,2.0,easy_separable,hist_gradient_boosting,0.006069212193280065
0.5,770,0.5,0.9991701804688818,0.9993109493451501,0.9973890339425587,0.9922077922077922,0.9974025974025974,0.9948051948051948,0.6789634856825839,16.671640707221208,18.37950299521037,7.0,0.00909090909090909,0.51,0.00909090909090909,1.0,2.0,easy_separable,random_forest,0.01242945924813108
0.5,770,0.5,0.9986709394501603,0.9989659024966651,0.9973753280839895,0.987012987012987,0.9974025974025974,0.9922077922077922,0.6688411295414155,5.878787308138396,18.860346303901625,11.0,0.014285714285714285,0.39,0.011688311688311689,1.0,2.0,easy_separable,logistic_regression,0.00866428856421987
0.5,910,0.5010989010989011,0.8812794651827807,0.8796648256182396,0.8348623853211009,0.7982456140350878,0.8414096916299559,0.8197802197802198,0.2779735755945081,1.3528085140548711,1.392601325566517,256.0,0.2813186813186813,0.445,0.24835164835164836,1.0,2.0,hard_overlap,random_forest,0.13829938434060168
0.5,910,0.5010989010989011,0.8661218023031145,0.8596790250089587,0.8283752860411899,0.793859649122807,0.8348017621145375,0.8142857142857143,0.2535293322886778,1.1347145181600933,1.2236686045696819,263.0,0.289010989010989,0.305,0.25934065934065936,1.0,2.0,hard_overlap,hist_gradient_boosting,0.14762369222317004
0.5,910,0.5010989010989011,0.7086134940876421,0.7161611605234818,0.6674008810572687,0.6644736842105263,0.6674008810572687,0.6659340659340659,0.0796044279351273,0.3160073188770326,0.37385027443876784,457.0,0.5021978021978022,0.355,0.46153846153846156,1.0,2.0,hard_overlap,logistic_regression,0.21835859482771222
0.5,1120,0.0875,0.9212827988338192,0.7910762836566739,0.9193548387096774,0.5816326530612245,0.9951076320939335,0.9589285714285715,0.3550142574528172,1.4120458698449938,5.928133179403467,210.0,0.1875,0.08,0.13303571428571428,1.0,5.0,imbalanced_linear,hist_gradient_boosting,0.034885203287285796
0.5,1120,0.0875,0.9040896201924997,0.7341096457786033,0.9111111111111111,0.41836734693877553,0.9960861056751468,0.9455357142857143,0.35194150366057275,1.4961589379886127,5.4386109988714075,289.0,0.2580357142857143,0.165,0.15357142857142858,1.0,5.0,imbalanced_linear,random_forest,0.043951650672664246
0.5,1120,0.0875,0.9016334518151683,0.6821743476316924,0.7796610169491526,0.46938775510204084,0.987279843444227,0.9419642857142857,0.30070830443787566,1.1815429937883095,4.6372893609585715,273.0,0.24375,0.195,0.1732142857142857,1.0,5.0,imbalanced_linear,logistic_regression,0.04447801718936669
0.5,840,0.5,0.9666581632653062,0.9638112051832061,0.8967136150234741,0.9095238095238095,0.8952380952380953,0.9023809523809524,0.46733388281843696,2.686202950320233,2.7693636642171353,120.0,0.14285714285714285,0.21,0.1261904761904762,1.0,2.0,nonlinear_moons,hist_gradient_boosting,0.07145481048075211
0.5,840,0.5,0.9676303854875283,0.9614654222592115,0.919431279620853,0.9238095238095239,0.919047619047619,0.9214285714285714,0.48796230786729977,3.25956234866677,2.836749776480201,98.0,0.11666666666666667,0.46,0.10952380952380952,1.0,2.0,nonlinear_moons,random_forest,0.061136164270791216
0.5,840,0.5,0.9341383219954649,0.9289500129211867,0.8484848484848485,0.8666666666666667,0.8452380952380952,0.8559523809523809,0.37439618589630563,2.4913454772038923,2.0504315238874553,177.0,0.21071428571428572,0.24,0.18928571428571428,1.0,2.0,nonlinear_moons,logistic_regression,0.10188038591219988
