threshold,precision,recall,specificity,f1,tp,fp,tn,fn,expected_cost,expected_cost_per_example
0.14,0.9896907216494846,0.9974025974025974,0.9896103896103896,0.9935316946959898,384,4,381,1,6.0,0.007792207792207792
0.135,0.9896907216494846,0.9974025974025974,0.9896103896103896,0.9935316946959898,384,4,381,1,6.0,0.007792207792207792
0.13,0.9896907216494846,0.9974025974025974,0.9896103896103896,0.9935316946959898,384,4,381,1,6.0,0.007792207792207792
0.125,0.9896907216494846,0.9974025974025974,0.9896103896103896,0.9935316946959898,384,4,381,1,6.0,0.007792207792207792
0.12,0.9896907216494846,0.9974025974025974,0.9896103896103896,0.9935316946959898,384,4,381,1,6.0,0.007792207792207792
0.115,0.9896907216494846,0.9974025974025974,0.9896103896103896,0.9935316946959898,384,4,381,1,6.0,0.007792207792207792
0.11,0.9896907216494846,0.9974025974025974,0.9896103896103896,0.9935316946959898,384,4,381,1,6.0,0.007792207792207792
0.105,0.9896907216494846,0.9974025974025974,0.9896103896103896,0.9935316946959898,384,4,381,1,6.0,0.007792207792207792
0.1,0.9896907216494846,0.9974025974025974,0.9896103896103896,0.9935316946959898,384,4,381,1,6.0,0.007792207792207792
0.095,0.9896907216494846,0.9974025974025974,0.9896103896103896,0.9935316946959898,384,4,381,1,6.0,0.007792207792207792
0.09,0.9896907216494846,0.9974025974025974,0.9896103896103896,0.9935316946959898,384,4,381,1,6.0,0.007792207792207792
0.085,0.9896907216494846,0.9974025974025974,0.9896103896103896,0.9935316946959898,384,4,381,1,6.0,0.007792207792207792
